DimItem_ItemCode_,DimItem_BPItemCode_,DimItem_ItemDesc_,ItemCategory,ItemGroupCode,ItemGroupDesc,ProductFamilyCode,ProductFamilyDesc,ItemModelGroupCode,OrigCountryRegionId,ItemModelGroupDesc,Sub_Brand,PackagingGroupCode,Grade,UnitCode_Sales,TaxItemGroupCode_Sales,CaseVolume,ContainerVolume,PackSize,PackagingQty,Pkg_or_Bulk,ProductStatus,DimItem_IsPFLItem_,DimItem_CreatedDateTime_,DimItem_ModifiedDateTime_
4403659,WKGO75/85,"Wakefield Gear Oil 75W85 GL-5, 18.93L",LUBES,FG,Finished Goods,WAKE,Wakefield,GO,,Gear Oil,Wakefield,PAIL,75W85,PL,EHCPC,18.93,18.93,PACK,1,Package,Active,False,3/22/2024 2:04:00 PM,6/6/2024 12:18:00 PM
4409600R,WCIBARCHAINISO100BK,Wakefield Bar and Chain ISO 100 Bulk,,FG,Finished Goods,WAKE,Wakefield,CSL,,Chainsaw Lube,,BULK,,LT,ALLTAX,1,1,,1,Bulk,Active,False,8/17/2016 11:10:00 AM,11/11/2022 11:00:00 AM
4409605,WK BAR&CHAIN,"Wakefield Bar and Chain ISO 100,1x205L",LUBES,FG,Finished Goods,WAKE,Wakefield,CSL,,Chainsaw Lube,Wakefield,DRUM,ISO100,DR,EHCC_DR,205,205,PACK,1,Package,Active,False,6/25/2019 2:27:00 PM,6/19/2026 12:52:00 PM
4409606,WFBAR&CHAINDR,"OBSOLETE - Wakefield Bar and Chain ISO 100,1x208.2L",LUBES,FG,Finished Goods,WAKE,Wakefield,CSL,CAN,Chainsaw Lube,Wakefield,DRUM,ISO100,DR,EHCP,208.2,208.2,PACK,1,Package,Obsolete,False,7/3/2018 5:02:00 PM,5/17/2021 11:00:00 AM
440963A,440963A,"Wakefield Bar and Chain ISO 100, 3x5L",LUBES,FG,Finished Goods,WAKE,Wakefield,CSL,,Chainsaw Lube,Wakefield,CASE,ISO100,CA,EHCC,15,5,PACK,3,Package,Active,False,9/4/2019 10:51:00 AM,5/7/2024 10:53:00 PM
440963AOP3,440963AOP3,"Filling Fee-Wakefield Bar and Chain ISO 100, 3x5L",,PSI,Sub-Contracted Services,OTHR,Other (Bypass BI),TPSC,,Third Party Sub-Contracting,,CASE,,CA,ALLTAX,15,-1,,0,Package,Active,False,8/31/2020 10:14:00 AM,11/11/2022 11:00:00 AM
4409659,Bar & Chain Pails,"Wakefield Bar and Chain ISO 100,1x18.93L",LUBES,FG,Finished Goods,WAKE,Wakefield,CSL,CAN,Chainsaw Lube,Wakefield,PAIL,ISO100,PL,EHCC,18.93,18.93,PACK,1,Package,Active,False,3/29/2018 3:17:00 PM,5/7/2024 10:53:00 PM
440966B,WCIBARCHAINISO100CA,"OBSOLETE - Wakefield Bar and Chain ISO 100, 3x3.78L",LUBES,FG,Finished Goods,WAKE,Wakefield,CSL,,Chainsaw Lube,Wakefield,CASE,ISO100,CA,EHCC,11.356,3.785333,PACK,3,Package,Obsolete,False,8/17/2016 11:10:00 AM,8/30/2022 2:59:00 PM
440966BOP3,440966BOP3,OBSOLETE - Filling Fee - Wakefield Bar and Chain ISO 100,,PSI,Sub-Contracted Services,WAKE,Wakefield,TPSC,CAN,Third Party Sub-Contracting,,CASE,,CA,ALLTAX,0,0,,1,Package,Obsolete,False,8/17/2016 11:10:00 AM,4/22/2026 1:29:00 PM
4409673,4409673,"Wakefield Bar and Chain ISO 100, 1x1041L",LUBES,FG,Finished Goods,WAKE,Wakefield,CSL,,Chainsaw Lube,Wakefield,TOTE,ISO100,TO,ALLTAX,1041,1041,PACK,1,Package,Active,False,8/9/2017 2:27:00 PM,5/7/2024 10:53:00 PM
4409700R,4409700R,Slideway 68 Lubricant,,FG,Finished Goods,WAKE,Wakefield,SLID,,Slideway Oil,,BULK,,LT,EHCP,1,1,,1,Bulk,Active,False,2/7/2025 10:27:00 AM,6/15/2026 10:57:00 PM
4409705,WK SLIDE 68,Wakefield Slideway 68 Lubricant 1x205L,LUBES,FG,Finished Goods,WAKE,Wakefield,SLID,,Slideway Oil,Wakefield,DRUM,ISO68,DR,EHCC_DR,205,205,PACK,1,Package,Active,False,2/6/2025 11:00:00 AM,10/22/2025 4:32:00 PM
4409759,WK SLIDEWAY 68,Wakefield Slideway 68 Lubricant 1x18.93L,LUBES,FG,Finished Goods,WAKE,Wakefield,SLID,,Slideway Oil,Wakefield,PAIL,ISO68,PL,EHCC,18.93,18.93,PACK,1,Package,Active,False,2/6/2025 10:58:00 AM,10/22/2025 4:33:00 PM
4409772,4409772,"Wakefield Slideway 68 Lubricant, 1 X 984.2L",LUBES,FG,Finished Goods,WAKE,Wakefield,SLID,,Slideway Oil,Wakefield,TOTE,ISO68,TO,ALLTAX,984.2,984.2,PACK,1,Package,Active,False,4/29/2025 11:30:00 AM,9/2/2025 12:14:00 PM
4409800R,4409800R,Slideway 220 Lubricant,,FG,Finished Goods,WAKE,Wakefield,SLID,,Slideway Oil,,BULK,,LT,EHCP,1,1,,1,Bulk,Active,False,2/7/2025 10:28:00 AM,6/21/2026 12:18:00 PM
4409805,WK SLIDE 220,Wakefield Slideway 220 Lubricant 1x205L,LUBES,FG,Finished Goods,WAKE,Wakefield,SLID,,Slideway Oil,Wakefield,DRUM,ISO220,DR,EHCC_DR,205,205,PACK,1,Package,Active,False,2/6/2025 11:02:00 AM,10/23/2025 9:24:00 AM
4409859,4409859,Wakefield Slideway 220 Lubricant 1x18.93L,LUBES,FG,Finished Goods,WAKE,Wakefield,SLID,,Slideway Oil,Wakefield,PAIL,ISO220,PL,EHCC,18.93,18.93,PACK,1,Package,Active,False,2/6/2025 11:01:00 AM,10/23/2025 9:25:00 AM
